region	AT	AT	AT	AT	AT	AT	AT	BE	BE	BE	BE	BE	BE	BE	BG	BG	BG	BG	BG	BG	BG	CY	CY	CY	CY	CY	CY	CY	CZ	CZ	CZ	CZ	CZ	CZ	CZ	DE	DE	DE	DE	DE	DE	DE	DK	DK	DK	DK	DK	DK	DK	EE	EE	EE	EE	EE	EE	EE	ES	ES	ES	ES	ES	ES	ES	FI	FI	FI	FI	FI	FI	FI	FR	FR	FR	FR	FR	FR	FR	GR	GR	GR	GR	GR	GR	GR	HR	HR	HR	HR	HR	HR	HR	HU	HU	HU	HU	HU	HU	HU	IE	IE	IE	IE	IE	IE	IE	IT	IT	IT	IT	IT	IT	IT	LT	LT	LT	LT	LT	LT	LT	LU	LU	LU	LU	LU	LU	LU	LV	LV	LV	LV	LV	LV	LV	MT	MT	MT	MT	MT	MT	MT	NL	NL	NL	NL	NL	NL	NL	PL	PL	PL	PL	PL	PL	PL	PT	PT	PT	PT	PT	PT	PT	RO	RO	RO	RO	RO	RO	RO	SE	SE	SE	SE	SE	SE	SE	SI	SI	SI	SI	SI	SI	SI	SK	SK	SK	SK	SK	SK	SK	GB	GB	GB	GB	GB	GB	GB	US	US	US	US	US	US	US	JP	JP	JP	JP	JP	JP	JP	CN	CN	CN	CN	CN	CN	CN	CA	CA	CA	CA	CA	CA	CA	KR	KR	KR	KR	KR	KR	KR	BR	BR	BR	BR	BR	BR	BR	IN	IN	IN	IN	IN	IN	IN	MX	MX	MX	MX	MX	MX	MX	RU	RU	RU	RU	RU	RU	RU	AU	AU	AU	AU	AU	AU	AU	CH	CH	CH	CH	CH	CH	CH	TR	TR	TR	TR	TR	TR	TR	TW	TW	TW	TW	TW	TW	TW	NO	NO	NO	NO	NO	NO	NO	ID	ID	ID	ID	ID	ID	ID	ZA	ZA	ZA	ZA	ZA	ZA	ZA	WA	WA	WA	WA	WA	WA	WA	WL	WL	WL	WL	WL	WL	WL	WE	WE	WE	WE	WE	WE	WE	WF	WF	WF	WF	WF	WF	WF	WM	WM	WM	WM	WM	WM	WM
TSP - combustion - air	35358178	796	7990	0	0	0	0	6549874	12	22236	0	0	0	0	20680455	38	49	0	0	0	0	114273	0	125	0	0	0	0	31015667	322985	154549	0	0	0	0	156801864	11466	663517	0	0	0	0	19406428	325	161842	0	0	0	0	8535035	42	14348	0	0	0	0	54771356	2775	4045272	0	0	0	0	27726090	32305	57712	0	0	0	0	148043201	7983	819986	0	0	0	0	16802426	10520	24814	0	0	0	0	8826975	24116	28611	0	0	0	0	19320290	1937	67760	0	0	0	0	6959435	59396	729413	0	0	0	0	79293385	632523	57866	0	0	0	0	14457530	35	145	0	0	0	0	328585	2271	4422	0	0	0	0	13273620	1697121	225540	0	0	0	0	262	0	0	0	0	0	0	6882480	4509	59243	0	0	0	0	167622280	3566911	934822	0	0	0	0	16173675	180	17870	0	0	0	0	69829254	14	2281327	0	0	0	0	26519195	24	79423	0	0	0	0	9434883	0	10796	0	0	0	0	2749870	918	2219	0	0	0	0	16998643	15175	231025	0	0	0	0	221531991	0	0	0	0	0	0	12043684	321	44635	0	0	0	0	4770499177	5275446	50382737	0	0	0	0	43218972	7383	17929	0	0	0	0	13682846	2367189	3640305	0	0	0	0	149926668	68	2743	0	0	0	0	2669266339	129313968	231888997	0	0	0	0	140890388	4	15	0	0	0	0	112131081	5819167	11855227	0	0	0	0	27142488	335347	468137	0	0	0	0	9149993	526	50677	0	0	0	0	189904479	2752	10804536	0	0	0	0	19142	396	534	0	0	0	0	14366537	3	5	0	0	0	0	1030619195	6	10	0	0	0	0	228972076	0	0	0	0	0	0	1994734175	7934315	13190232	0	0	0	0	479473782	9518	156475	0	0	0	0	125363524	6102	5245566	0	0	0	0	5513444114	1126723	30584576	0	0	0	0	30388689	45918	141618	0	0	0	0
As - combustion - air	30	0	0	0	0	0	0	40	0	2	0	0	0	0	39	0	0	0	0	0	0	6	0	0	0	0	0	0	53	0	1	0	0	0	0	217	2	4	0	0	0	0	38	0	0	0	0	0	0	12	0	0	0	0	0	0	80	0	15	0	0	0	0	52	0	0	0	0	0	0	318	1	4	0	0	0	0	44	0	0	0	0	0	0	13	0	0	0	0	0	0	35	0	1	0	0	0	0	246	0	3	0	0	0	0	116	2	3	0	0	0	0	14	0	0	0	0	0	0	2	0	0	0	0	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	11	1	2	0	0	0	0	585	18	3	0	0	0	0	18	0	0	0	0	0	0	84	0	3	0	0	0	0	7	0	0	0	0	0	0	8	0	0	0	0	0	0	10	0	0	0	0	0	0	646	3	5	0	0	0	0	569	0	0	0	0	0	0	2570	0	7	0	0	0	0	10100	10	74	0	0	0	0	355	46	106	0	0	0	0	662	2	3	0	0	0	0	186	0	0	0	0	0	0	6459	320	507	0	0	0	0	175	0	0	0	0	0	0	4044	186	457	0	0	0	0	40	1	1	0	0	0	0	25	0	0	0	0	0	0	772	0	53	0	0	0	0	4	0	0	0	0	0	0	71	0	0	0	0	0	0	1844	0	0	0	0	0	0	546	0	0	0	0	0	0	3203	24	35	0	0	0	0	1038	0	0	0	0	0	0	317	0	12	0	0	0	0	6798	1	44	0	0	0	0	2225	0	1	0	0	0	0
Cd - combustion - air	82	1	1	0	0	0	0	85	0	12	0	0	0	0	45	0	0	0	0	0	0	16	0	0	0	0	0	0	64	2	3	0	0	0	0	656	12	23	0	0	0	0	82	0	1	0	0	0	0	22	0	0	0	0	0	0	306	3	14	0	0	0	0	92	0	0	0	0	0	0	656	8	16	0	0	0	0	121	0	1	0	0	0	0	31	0	1	0	0	0	0	62	2	4	0	0	0	0	411	0	3	0	0	0	0	338	10	20	0	0	0	0	34	0	0	0	0	0	0	9	0	0	0	0	0	0	32	2	0	0	0	0	0	1	0	0	0	0	0	0	69	5	12	0	0	0	0	417	13	5	0	0	0	0	48	0	0	0	0	0	0	139	0	4	0	0	0	0	40	0	0	0	0	0	0	28	0	0	0	0	0	0	14	1	1	0	0	0	0	1302	16	25	0	0	0	0	5356	0	0	0	0	0	0	4694	0	40	0	0	0	0	10735	27	123	0	0	0	0	1616	250	580	0	0	0	0	1203	6	10	0	0	0	0	370	0	0	0	0	0	0	9542	261	454	0	0	0	0	557	0	0	0	0	0	0	20868	902	2301	0	0	0	0	183	3	4	0	0	0	0	70	1	1	0	0	0	0	661	3	39	0	0	0	0	75	0	1	0	0	0	0	118	0	0	0	0	0	0	2804	0	0	0	0	0	0	639	0	0	0	0	0	0	4296	14	24	0	0	0	0	1822	0	0	0	0	0	0	384	0	8	0	0	0	0	9650	2	49	0	0	0	0	4115	1	2	0	0	0	0
Cr - combustion - air	844	1	2	0	0	0	0	892	0	15	0	0	0	0	258	0	0	0	0	0	0	214	0	0	0	0	0	0	404	2	4	0	0	0	0	6683	15	34	0	0	0	0	625	0	2	0	0	0	0	112	0	0	0	0	0	0	3600	4	68	0	0	0	0	836	1	2	0	0	0	0	5299	10	22	0	0	0	0	1374	1	2	0	0	0	0	275	1	1	0	0	0	0	419	3	5	0	0	0	0	4381	1	15	0	0	0	0	2821	14	25	0	0	0	0	360	0	0	0	0	0	0	111	0	0	0	0	0	0	265	4	1	0	0	0	0	21	0	0	0	0	0	0	586	6	15	0	0	0	0	3234	82	15	0	0	0	0	409	0	0	0	0	0	0	539	0	8	0	0	0	0	443	0	0	0	0	0	0	334	0	1	0	0	0	0	120	1	2	0	0	0	0	13465	20	33	0	0	0	0	62716	0	0	0	0	0	0	50013	0	50	0	0	0	0	41871	43	235	0	0	0	0	5144	319	739	0	0	0	0	12611	12	19	0	0	0	0	2562	0	0	0	0	0	0	58492	1452	2102	0	0	0	0	5484	0	0	0	0	0	0	29612	1359	3227	0	0	0	0	1841	4	6	0	0	0	0	736	1	1	0	0	0	0	4870	4	239	0	0	0	0	1075	1	1	0	0	0	0	676	0	0	0	0	0	0	13081	0	0	0	0	0	0	4296	0	0	0	0	0	0	21623	106	154	0	0	0	0	13857	0	0	0	0	0	0	2101	2	52	0	0	0	0	34118	5	152	0	0	0	0	42142	7	9	0	0	0	0
Cu - combustion - air	12290	1	1	0	0	0	0	7759	0	10	0	0	0	0	3105	0	0	0	0	0	0	2886	0	0	0	0	0	0	5322	3	3	0	0	0	0	104262	9	22	0	0	0	0	9637	0	3	0	0	0	0	2040	0	0	0	0	0	0	70259	2	127	0	0	0	0	3825	1	3	0	0	0	0	65457	6	20	0	0	0	0	22310	2	4	0	0	0	0	4437	1	2	0	0	0	0	7463	2	4	0	0	0	0	13556	1	29	0	0	0	0	51480	13	15	0	0	0	0	7817	0	0	0	0	0	0	2190	0	0	0	0	0	0	4623	13	2	0	0	0	0	506	0	0	0	0	0	0	13040	4	9	0	0	0	0	20516	156	24	0	0	0	0	8229	0	0	0	0	0	0	7067	0	22	0	0	0	0	10750	0	0	0	0	0	0	7056	0	0	0	0	0	0	1970	1	1	0	0	0	0	75668	12	21	0	0	0	0	1493733	0	0	0	0	0	0	170261	0	31	0	0	0	0	143825	76	618	0	0	0	0	60492	194	448	0	0	0	0	39487	15	22	0	0	0	0	44697	0	0	0	0	0	0	114070	2756	4361	0	0	0	0	117039	0	0	0	0	0	0	63112	916	2156	0	0	0	0	43981	6	8	0	0	0	0	9639	0	1	0	0	0	0	25083	2	460	0	0	0	0	25704	0	0	0	0	0	0	5363	0	0	0	0	0	0	59707	0	0	0	0	0	0	28266	0	0	0	0	0	0	150543	210	311	0	0	0	0	99217	0	1	0	0	0	0	7262	1	98	0	0	0	0	105848	10	379	0	0	0	0	131606	4	6	0	0	0	0
Hg - combustion - air	10	0	1	0	0	0	0	10	0	6	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	81	1	1	0	0	0	0	114	5	10	0	0	0	0	15	0	1	0	0	0	0	7	0	0	0	0	0	0	25	1	30	0	0	0	0	9	0	1	0	0	0	0	131	4	7	0	0	0	0	15	0	1	0	0	0	0	6	0	1	0	0	0	0	44	1	2	0	0	0	0	57	0	7	0	0	0	0	64	5	9	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	10	2	5	0	0	0	0	1152	36	6	0	0	0	0	8	0	0	0	0	0	0	49	0	1	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	19	0	1	0	0	0	0	80	7	12	0	0	0	0	373	0	0	0	0	0	0	86	0	18	0	0	0	0	12052	11	47	0	0	0	0	615	114	263	0	0	0	0	43	5	8	0	0	0	0	102	0	0	0	0	0	0	2675	522	745	0	0	0	0	75	0	0	0	0	0	0	9884	434	1099	0	0	0	0	22	1	2	0	0	0	0	5	0	0	0	0	0	0	1327	1	105	0	0	0	0	1	0	0	0	0	0	0	26	0	0	0	0	0	0	738	0	0	0	0	0	0	637	0	0	0	0	0	0	2701	48	68	0	0	0	0	366	0	0	0	0	0	0	420	0	24	0	0	0	0	3478	1	45	0	0	0	0	160	0	0	0	0	0	0
Ni - combustion - air	5526	2	3	0	0	0	0	9202	0	23	0	0	0	0	256	0	0	0	0	0	0	1585	0	0	0	0	0	0	359	4	6	0	0	0	0	39826	22	128	0	0	0	0	3053	1	3	0	0	0	0	111	0	0	0	0	0	0	12438	5	80	0	0	0	0	10438	1	11	0	0	0	0	36797	16	33	0	0	0	0	7233	1	2	0	0	0	0	1322	1	2	0	0	0	0	407	4	7	0	0	0	0	59295	1	20	0	0	0	0	9707	21	37	0	0	0	0	253	0	0	0	0	0	0	400	0	1	0	0	0	0	735	7	2	0	0	0	0	26	0	0	0	0	0	0	1352	9	23	0	0	0	0	3903	134	23	0	0	0	0	921	0	1	0	0	0	0	1020	0	11	0	0	0	0	347	0	0	0	0	0	0	714	0	1	0	0	0	0	91	2	2	0	0	0	0	165570	30	49	0	0	0	0	77542	0	0	0	0	0	0	687720	0	76	0	0	0	0	106109	65	356	0	0	0	0	20258	479	1108	0	0	0	0	174507	17	26	0	0	0	0	7160	0	1	0	0	0	0	704107	4526	5060	0	0	0	0	10494	0	0	0	0	0	0	48744	4327	7449	0	0	0	0	1221	7	9	0	0	0	0	5760	1	1	0	0	0	0	20659	5	355	0	0	0	0	1408	1	1	0	0	0	0	5600	0	0	0	0	0	0	118740	0	0	0	0	0	0	28166	0	0	0	0	0	0	132490	125	188	0	0	0	0	137789	0	1	0	0	0	0	14394	31	80	0	0	0	0	251513	31	236	0	0	0	0	582416	100	119	0	0	0	0
Pb - combustion - air	1651	2	3	0	0	0	0	1392	0	24	0	0	0	0	2027	0	0	0	0	0	0	340	0	0	0	0	0	0	2891	12	9	0	0	0	0	12684	22	55	0	0	0	0	1969	1	11	0	0	0	0	623	0	1	0	0	0	0	7646	5	721	0	0	0	0	1442	7	14	0	0	0	0	14485	15	65	0	0	0	0	2979	9	20	0	0	0	0	751	6	8	0	0	0	0	2098	4	10	0	0	0	0	6030	3	166	0	0	0	0	7594	42	39	0	0	0	0	1237	0	0	0	0	0	0	199	0	1	0	0	0	0	1015	59	8	0	0	0	0	40	0	0	0	0	0	0	1094	9	24	0	0	0	0	31233	897	129	0	0	0	0	1273	0	1	0	0	0	0	3816	0	103	0	0	0	0	1041	0	1	0	0	0	0	849	0	1	0	0	0	0	637	2	2	0	0	0	0	16628	30	54	0	0	0	0	124623	0	0	0	0	0	0	55046	0	76	0	0	0	0	456150	323	2832	0	0	0	0	10282	479	1108	0	0	0	0	14141	70	108	0	0	0	0	10416	0	1	0	0	0	0	208924	15099	23494	0	0	0	0	15189	0	0	0	0	0	0	57647	2739	6327	0	0	0	0	4728	23	32	0	0	0	0	1165	1	2	0	0	0	0	38275	5	2653	0	0	0	0	2024	1	1	0	0	0	0	2751	0	0	0	0	0	0	67700	0	0	0	0	0	0	24525	0	0	0	0	0	0	132531	1221	1788	0	0	0	0	37350	0	6	0	0	0	0	13369	2	579	0	0	0	0	260125	46	1920	0	0	0	0	47175	9	17	0	0	0	0
Se - combustion - air	42	0	0	0	0	0	0	28	0	0	0	0	0	0	26	0	0	0	0	0	0	7	0	0	0	0	0	0	40	0	0	0	0	0	0	366	0	1	0	0	0	0	41	0	0	0	0	0	0	12	0	0	0	0	0	0	211	0	7	0	0	0	0	17	0	0	0	0	0	0	278	0	1	0	0	0	0	68	0	0	0	0	0	0	17	0	0	0	0	0	0	38	0	0	0	0	0	0	40	0	2	0	0	0	0	186	0	0	0	0	0	0	27	0	0	0	0	0	0	6	0	0	0	0	0	0	19	1	0	0	0	0	0	1	0	0	0	0	0	0	49	0	0	0	0	0	0	320	8	1	0	0	0	0	31	0	0	0	0	0	0	57	0	1	0	0	0	0	36	0	0	0	0	0	0	21	0	0	0	0	0	0	9	0	0	0	0	0	0	236	0	1	0	0	0	0	4756	0	0	0	0	0	0	457	0	1	0	0	0	0	4999	4	35	0	0	0	0	240	5	13	0	0	0	0	102	1	1	0	0	0	0	207	0	0	0	0	0	0	2099	149	241	0	0	0	0	409	0	0	0	0	0	0	714	27	66	0	0	0	0	153	0	0	0	0	0	0	33	0	0	0	0	0	0	391	0	25	0	0	0	0	75	0	0	0	0	0	0	40	0	0	0	0	0	0	842	0	0	0	0	0	0	288	0	0	0	0	0	0	1705	11	17	0	0	0	0	526	0	0	0	0	0	0	139	0	6	0	0	0	0	3110	1	21	0	0	0	0	347	0	0	0	0	0	0
Zn - combustion - air	7556	22	37	0	0	0	0	4868	0	322	0	0	0	0	5495	1	1	0	0	0	0	1329	0	0	0	0	0	0	7880	68	82	0	0	0	0	62179	312	617	0	0	0	0	8197	9	56	0	0	0	0	2512	1	4	0	0	0	0	37638	75	1391	0	0	0	0	3770	13	23	0	0	0	0	55855	217	518	0	0	0	0	12596	17	41	0	0	0	0	3222	20	27	0	0	0	0	7430	53	107	0	0	0	0	9226	18	297	0	0	0	0	35955	331	522	0	0	0	0	4961	1	4	0	0	0	0	1080	4	7	0	0	0	0	3717	194	28	0	0	0	0	240	0	0	0	0	0	0	8076	123	315	0	0	0	0	59536	1574	305	0	0	0	0	5973	5	9	0	0	0	0	13574	0	335	0	0	0	0	6132	1	5	0	0	0	0	3882	0	14	0	0	0	0	1787	22	32	0	0	0	0	45096	413	688	0	0	0	0	798599	0	0	0	0	0	0	98654	0	1051	0	0	0	0	1118259	1400	9732	0	0	0	0	71321	6615	15314	0	0	0	0	23930	253	388	0	0	0	0	41971	2	9	0	0	0	0	539205	29671	50322	0	0	0	0	75331	0	0	0	0	0	0	589880	24746	62913	0	0	0	0	26958	125	174	0	0	0	0	5578	14	20	0	0	0	0	75184	75	4737	0	0	0	0	12561	11	15	0	0	0	0	9203	0	0	0	0	0	0	210853	0	0	0	0	0	0	59521	0	0	0	0	0	0	379634	2078	3196	0	0	0	0	116898	1	21	0	0	0	0	30328	2	1000	0	0	0	0	793968	139	5019	0	0	0	0	83308	13	44	0	0	0	0
As - non combustion - Agglomeration plant - pellets - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Agglomeration plant - sinter - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Glass production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Production of coke oven coke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Production of gascoke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Steel production: basic oxygen furnace - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Steel production: electric arc furnace - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
